policy,policy_display_name,step,time_s,evidence_type,traffic_stress,weighted_edge_distance,active_edge_count,request_mix_entropy,top3_hotspot_churn,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
cga,CGA,38,190.000,replay/model/control-plane,0.995041,0.040688,14,1.181291,0.000000,0.451198,1.237382,,,95.879950,127.500000,0.752000,0.000000
hda,HDA,38,190.000,replay/model/control-plane,0.995041,0.040688,14,1.181291,0.000000,0.451198,1.237382,,,88.201734,127.500000,0.691778,0.000000
kubernetes-default,K8s default,39,195.000,replay/model/control-plane,1.053908,0.055856,14,1.181291,0.000000,0.451198,1.237382,,,99.916226,127.500000,0.783657,0.000000
cga,CGA,39,195.000,replay/model/control-plane,1.053908,0.055856,14,1.181291,0.000000,0.451198,1.237382,,,95.225587,127.500000,0.746867,0.000000
hda,HDA,39,195.000,replay/model/control-plane,1.053908,0.055856,14,1.181291,0.000000,0.451198,1.237382,,,89.904482,127.500000,0.705133,0.000000
kubernetes-default,K8s default,40,200.000,replay/model/control-plane,1.048241,0.005377,14,1.181291,0.000000,0.451198,1.237382,,,98.414988,127.500000,0.771882,0.000000
cga,CGA,40,200.000,replay/model/control-plane,1.048241,0.005377,14,1.181291,0.000000,0.451198,1.237382,,,95.579936,127.500000,0.749647,0.000000
hda,HDA,40,200.000,replay/model/control-plane,1.048241,0.005377,14,1.181291,0.000000,0.451198,1.237382,,,86.868526,127.500000,0.681322,0.000000
kubernetes-default,K8s default,41,205.000,replay/model/control-plane,0.995619,0.050200,14,1.181291,0.000000,0.451198,1.237382,,,99.127051,127.500000,0.777467,0.000000
cga,CGA,41,205.000,replay/model/control-plane,0.995619,0.050200,14,1.181291,0.000000,0.451198,1.237382,,,97.997336,127.500000,0.768607,0.000000
hda,HDA,41,205.000,replay/model/control-plane,0.995619,0.050200,14,1.181291,0.000000,0.451198,1.237382,,,92.359607,127.500000,0.724389,0.000000
kubernetes-default,K8s default,42,210.000,replay/model/control-plane,1.041273,0.043844,14,1.181291,0.000000,0.451198,1.237382,,,103.472295,127.500000,0.811547,0.000000
cga,CGA,42,210.000,replay/model/control-plane,1.041273,0.043844,14,1.181291,0.000000,0.451198,1.237382,,,93.532487,127.500000,0.733588,0.000000
hda,HDA,42,210.000,replay/model/control-plane,1.041273,0.043844,14,1.181291,0.000000,0.451198,1.237382,,,94.861881,127.500000,0.744015,0.000000
kubernetes-default,K8s default,43,215.000,replay/model/control-plane,1.000016,0.039622,14,1.181291,0.000000,0.451198,1.237382,,,99.907806,127.500000,0.783591,0.000000
cga,CGA,43,215.000,replay/model/control-plane,1.000016,0.039622,14,1.181291,0.000000,0.451198,1.237382,,,101.184293,127.500000,0.793602,0.000000
hda,HDA,43,215.000,replay/model/control-plane,1.000016,0.039622,14,1.181291,0.000000,0.451198,1.237382,,,85.952684,127.500000,0.674139,0.000000
kubernetes-default,K8s default,44,220.000,replay/model/control-plane,0.983120,0.016896,14,1.181291,0.000000,0.451198,1.237382,,,101.069475,127.500000,0.792702,0.000000
cga,CGA,44,220.000,replay/model/control-plane,0.983120,0.016896,14,1.181291,0.000000,0.451198,1.237382,,,95.427567,127.500000,0.748452,0.000000
hda,HDA,44,220.000,replay/model/control-plane,0.983120,0.016896,14,1.181291,0.000000,0.451198,1.237382,,,92.838336,127.500000,0.728144,0.000000
kubernetes-default,K8s default,45,225.000,replay/model/control-plane,1.013427,0.029906,14,1.181291,0.000000,0.451198,1.237382,,,101.444419,127.500000,0.795643,0.000000
cga,CGA,45,225.000,replay/model/control-plane,1.013427,0.029906,14,1.181291,0.000000,0.451198,1.237382,,,91.154943,127.500000,0.714941,0.000000
hda,HDA,45,225.000,replay/model/control-plane,1.013427,0.029906,14,1.181291,0.000000,0.451198,1.237382,,,92.446823,127.500000,0.725073,0.000000
kubernetes-default,K8s default,46,230.000,replay/model/control-plane,1.014075,0.000639,14,1.181291,0.000000,0.451198,1.237382,,,99.850138,127.500000,0.783138,0.000000
cga,CGA,46,230.000,replay/model/control-plane,1.014075,0.000639,14,1.181291,0.000000,0.451198,1.237382,,,94.673471,127.500000,0.742537,0.000000
hda,HDA,46,230.000,replay/model/control-plane,1.014075,0.000639,14,1.181291,0.000000,0.451198,1.237382,,,89.611187,127.500000,0.702833,0.000000
kubernetes-default,K8s default,47,235.000,replay/model/control-plane,1.021038,0.006820,14,1.181291,0.000000,0.451198,1.237382,,,97.988801,127.500000,0.768540,0.000000
cga,CGA,47,235.000,replay/model/control-plane,1.021038,0.006820,14,1.181291,0.000000,0.451198,1.237382,,,94.748587,127.500000,0.743126,0.000000
hda,HDA,47,235.000,replay/model/control-plane,1.021038,0.006820,14,1.181291,0.000000,0.451198,1.237382,,,93.394710,127.500000,0.732508,0.000000
kubernetes-default,K8s default,48,240.000,replay/model/control-plane,1.046846,0.024653,14,1.181291,0.000000,0.451198,1.237382,,,98.428379,127.500000,0.771987,0.000000
cga,CGA,48,240.000,replay/model/control-plane,1.046846,0.024653,14,1.181291,0.000000,0.451198,1.237382,,,100.333340,127.500000,0.786928,0.000000
hda,HDA,48,240.000,replay/model/control-plane,1.046846,0.024653,14,1.181291,0.000000,0.451198,1.237382,,,93.263832,127.500000,0.731481,0.000000
kubernetes-default,K8s default,49,245.000,replay/model/control-plane,1.066501,0.034177,15,1.181291,0.000000,0.464986,1.324936,,,105.498892,127.500000,0.827442,0.000000
cga,CGA,49,245.000,replay/model/control-plane,1.066501,0.034177,15,1.181291,0.000000,0.464986,1.324936,,,96.401445,127.500000,0.756090,0.000000
hda,HDA,49,245.000,replay/model/control-plane,1.066501,0.034177,15,1.181291,0.000000,0.464986,1.324936,,,90.081656,127.500000,0.706523,0.000000
