benchmark,run_id,step,time_s,policy,latency_ms,p95_ms,active_edge_count,request_mix_entropy,gda_total_time_ms
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,42,42.000,cga,86.652416,86.652416,7,1.674106,0.008295
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,42,42.000,hda,81.117545,81.117545,7,1.674106,0.008295
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,43,43.000,kubernetes-default,85.739817,85.739817,7,1.678342,0.011241
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,43,43.000,cga,83.766740,83.766740,7,1.678342,0.011241
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,43,43.000,hda,77.815695,77.815695,7,1.678342,0.011241
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,44,44.000,kubernetes-default,89.408815,89.408815,7,1.682657,0.008155
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,44,44.000,cga,78.628276,78.628276,7,1.682657,0.008155
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,44,44.000,hda,75.872562,75.872562,7,1.682657,0.008155
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,45,45.000,kubernetes-default,89.522820,89.522820,7,1.687050,0.008706
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,45,45.000,cga,82.804403,82.804403,7,1.687050,0.008706
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,45,45.000,hda,78.624984,78.624984,7,1.687050,0.008706
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,46,46.000,kubernetes-default,87.092867,87.092867,7,1.691521,0.008075
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,46,46.000,cga,82.513696,82.513696,7,1.691521,0.008075
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,46,46.000,hda,77.021100,77.021100,7,1.691521,0.008075
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,47,47.000,kubernetes-default,84.248692,84.248692,7,1.696071,0.015158
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,47,47.000,cga,80.966852,80.966852,7,1.696071,0.015158
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,47,47.000,hda,74.288577,74.288577,7,1.696071,0.015158
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,48,48.000,kubernetes-default,85.998411,85.998411,7,1.700700,0.008316
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,48,48.000,cga,79.353123,79.353123,7,1.700700,0.008316
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,48,48.000,hda,79.773477,79.773477,7,1.700700,0.008316
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,49,49.000,kubernetes-default,84.009465,84.009465,7,1.705406,0.008326
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,49,49.000,cga,82.514161,82.514161,7,1.705406,0.008326
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,49,49.000,hda,77.820193,77.820193,7,1.705406,0.008326
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,50,50.000,kubernetes-default,88.313640,88.313640,7,1.710190,0.008977
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,50,50.000,cga,81.854248,81.854248,7,1.710190,0.008977
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,50,50.000,hda,81.559047,81.559047,7,1.710190,0.008977
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,51,51.000,kubernetes-default,86.332958,86.332958,7,1.715052,0.008216
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,51,51.000,cga,84.840883,84.840883,7,1.715052,0.008216
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,51,51.000,hda,78.853651,78.853651,7,1.715052,0.008216
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,52,52.000,kubernetes-default,92.998187,92.998187,7,1.719992,0.008136
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,52,52.000,cga,78.497580,78.497580,7,1.719992,0.008136
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,52,52.000,hda,81.358644,81.358644,7,1.719992,0.008136
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,53,53.000,kubernetes-default,85.368691,85.368691,7,1.725008,0.008295
