ts,worker,path,method,status,latency_ms,bytes,error
2026-06-16T02:37:16.661478+00:00,4,/product/0PUK6V6EV0,GET,200,90.38997301831841,7926,
2026-06-16T02:37:16.750010+00:00,7,/cart,GET,200,158.3461919799447,6875,
2026-06-16T02:37:16.763535+00:00,1,/cart,GET,200,105.22282123565674,6915,
2026-06-16T02:37:16.766704+00:00,4,/product/0PUK6V6EV0,GET,200,105.19718332216144,7940,
2026-06-16T02:37:16.767517+00:00,2,/product/0PUK6V6EV0,GET,200,108.7429728358984,7936,
2026-06-16T02:37:16.775069+00:00,5,/,GET,200,185.30526105314493,10499,
2026-06-16T02:37:16.775409+00:00,6,/,GET,200,185.96264766529202,10499,
2026-06-16T02:37:16.775847+00:00,3,/,GET,200,183.00934601575136,10499,
2026-06-16T02:37:16.780710+00:00,7,/product/0PUK6V6EV0,GET,200,30.60305118560791,7950,
2026-06-16T02:37:16.866064+00:00,0,/,GET,200,206.64786035194993,10499,
2026-06-16T02:37:16.883081+00:00,6,/product/0PUK6V6EV0,GET,200,107.67715377733111,7966,
2026-06-16T02:37:16.883535+00:00,3,/cart,GET,200,107.65096498653293,6871,
2026-06-16T02:37:16.884881+00:00,2,/cart,GET,200,117.29232501238585,6847,
2026-06-16T02:37:16.885214+00:00,5,/cart,GET,200,110.100869089365,6901,
2026-06-16T02:37:16.957634+00:00,1,/,GET,200,194.03934199362993,10499,
2026-06-16T02:37:16.958080+00:00,7,/,GET,200,177.36060498282313,10499,
2026-06-16T02:37:16.958528+00:00,4,/,GET,200,191.78336206823587,10499,
2026-06-16T02:37:16.960135+00:00,0,/product/2ZYFJ3GM2N,GET,200,94.01538176462054,7998,
2026-06-16T02:37:16.978173+00:00,3,/cart,GET,200,94.5857260376215,6903,
2026-06-16T02:37:16.980940+00:00,2,/cart,GET,200,96.03139897808433,6885,
2026-06-16T02:37:17.050866+00:00,6,/product/0PUK6V6EV0,GET,200,167.71571757271886,7976,
2026-06-16T02:37:17.055941+00:00,5,/cart,GET,200,170.67387979477644,6855,
2026-06-16T02:37:17.062212+00:00,7,/cart,GET,200,104.05127378180623,6867,
2026-06-16T02:37:17.083213+00:00,6,/cart,GET,200,32.29515999555588,6853,
2026-06-16T02:37:17.159520+00:00,5,/cart,GET,200,103.52582577615976,6875,
2026-06-16T02:37:17.165297+00:00,1,/,GET,200,207.5787829235196,10499,
2026-06-16T02:37:17.166182+00:00,0,/product/2ZYFJ3GM2N,GET,200,205.97516186535358,7960,
2026-06-16T02:37:17.166537+00:00,4,/product/0PUK6V6EV0,GET,200,208.00002617761493,7980,
2026-06-16T02:37:17.167633+00:00,3,/product/2ZYFJ3GM2N,GET,200,189.4079470075667,7976,
2026-06-16T02:37:17.168758+00:00,2,/product/2ZYFJ3GM2N,GET,200,187.7917731180787,7986,
2026-06-16T02:37:17.171365+00:00,7,/product/2ZYFJ3GM2N,GET,200,109.12177618592978,7988,
2026-06-16T02:37:17.188529+00:00,6,/product/2ZYFJ3GM2N,GET,200,105.25450110435486,7992,
2026-06-16T02:37:17.266628+00:00,5,/product/2ZYFJ3GM2N,GET,200,107.06068389117718,7952,
2026-06-16T02:37:17.267005+00:00,7,/product/2ZYFJ3GM2N,GET,200,95.61083745211363,8002,
2026-06-16T02:37:17.267667+00:00,0,/cart,GET,200,101.47009417414665,6841,
2026-06-16T02:37:17.268696+00:00,1,/cart,GET,200,103.37539296597242,6859,
2026-06-16T02:37:17.363835+00:00,6,/product/2ZYFJ3GM2N,GET,200,175.24379026144743,7950,
2026-06-16T02:37:17.366243+00:00,2,/,GET,200,197.4002020433545,10499,
2026-06-16T02:37:17.367037+00:00,4,/,GET,200,200.43529802933335,10499,
2026-06-16T02:37:17.367740+00:00,3,/,GET,200,200.0700100325048,10499,
2026-06-16T02:37:17.383857+00:00,0,/cart,GET,200,116.14756798371673,6851,
2026-06-16T02:37:17.392553+00:00,6,/cart,GET,200,28.645623940974474,6875,
2026-06-16T02:37:17.399216+00:00,4,/cart,GET,200,32.08583500236273,6895,
2026-06-16T02:37:17.449963+00:00,3,/cart,GET,200,82.16965990141034,6899,
2026-06-16T02:37:17.468021+00:00,2,/,GET,200,101.72797925770283,10499,
2026-06-16T02:37:17.468390+00:00,1,/product/0PUK6V6EV0,GET,200,199.6376160532236,7928,
2026-06-16T02:37:17.468942+00:00,7,/product/0PUK6V6EV0,GET,200,201.9094550050795,7970,
2026-06-16T02:37:17.469263+00:00,0,/product/0PUK6V6EV0,GET,200,85.36302484571934,7942,
2026-06-16T02:37:17.470283+00:00,5,/product/2ZYFJ3GM2N,GET,200,203.5578489303589,7972,
2026-06-16T02:37:17.478207+00:00,6,/,GET,200,85.59627505019307,10499,
2026-06-16T02:37:17.551450+00:00,4,/cart,GET,200,152.16748416423798,6897,
2026-06-16T02:37:17.555691+00:00,3,/cart,GET,200,105.64908478409052,6855,
2026-06-16T02:37:17.573759+00:00,2,/cart,GET,200,105.67161813378334,6879,
2026-06-16T02:37:17.580776+00:00,1,/cart,GET,200,112.32650186866522,6859,
2026-06-16T02:37:17.583398+00:00,7,/product/2ZYFJ3GM2N,GET,200,114.42609503865242,7934,
2026-06-16T02:37:17.651122+00:00,5,/product/2ZYFJ3GM2N,GET,200,180.81743689253926,7956,
2026-06-16T02:37:17.651534+00:00,4,/cart,GET,200,100.0060560181737,6877,
2026-06-16T02:37:17.657229+00:00,3,/cart,GET,200,101.50237288326025,6901,
2026-06-16T02:37:17.663000+00:00,6,/,GET,200,184.766405262053,10499,
2026-06-16T02:37:17.663439+00:00,0,/,GET,200,194.11914236843586,10499,
2026-06-16T02:37:17.673833+00:00,2,/cart,GET,200,100.03476962447166,6869,
2026-06-16T02:37:17.755795+00:00,1,/cart,GET,200,174.96805870905519,6859,
2026-06-16T02:37:17.761037+00:00,7,/product/2ZYFJ3GM2N,GET,200,177.62082582339644,7952,
2026-06-16T02:37:17.763984+00:00,5,/product/0PUK6V6EV0,GET,200,112.79571475461125,7948,
2026-06-16T02:37:17.769914+00:00,4,/product/0PUK6V6EV0,GET,200,118.36514575406909,7956,
2026-06-16T02:37:17.772368+00:00,3,/product/0PUK6V6EV0,GET,200,115.11021573096514,7966,
2026-06-16T02:37:17.777306+00:00,6,/product/0PUK6V6EV0,GET,200,114.21269504353404,7976,
2026-06-16T02:37:17.850887+00:00,0,/,GET,200,187.396259047091,10499,
2026-06-16T02:37:17.858280+00:00,2,/cart,GET,200,184.41038392484188,6915,
2026-06-16T02:37:17.863264+00:00,1,/cart,GET,200,107.39650623872876,6861,
2026-06-16T02:37:17.871994+00:00,7,/product/2ZYFJ3GM2N,GET,200,110.90335110202432,7978,
2026-06-16T02:37:17.872457+00:00,5,/product/0PUK6V6EV0,GET,200,108.46097068861127,7964,
2026-06-16T02:37:17.950897+00:00,4,/product/0PUK6V6EV0,GET,200,180.9456693008542,7990,
2026-06-16T02:37:17.957961+00:00,3,/product/0PUK6V6EV0,GET,200,185.5783946812153,7952,
2026-06-16T02:37:17.958337+00:00,6,/product/0PUK6V6EV0,GET,200,181.00427882745862,7922,
2026-06-16T02:37:17.964358+00:00,1,/cart,GET,200,101.05243604630232,6879,
2026-06-16T02:37:17.964949+00:00,2,/cart,GET,200,106.59243213012815,6903,
2026-06-16T02:37:17.975633+00:00,0,/,GET,200,124.69457695260644,10499,
2026-06-16T02:37:18.068394+00:00,5,/product/0PUK6V6EV0,GET,200,195.8907376974821,7962,
2026-06-16T02:37:18.069185+00:00,7,/product/2ZYFJ3GM2N,GET,200,197.11170671507716,7972,
2026-06-16T02:37:18.073094+00:00,4,/product/0PUK6V6EV0,GET,200,122.14741110801697,7940,
2026-06-16T02:37:18.156239+00:00,2,/cart,GET,200,191.26690924167633,6853,
2026-06-16T02:37:18.157111+00:00,6,/product/0PUK6V6EV0,GET,200,198.70658218860626,7962,
2026-06-16T02:37:18.161188+00:00,3,/product/0PUK6V6EV0,GET,200,203.15003069117665,7950,
2026-06-16T02:37:18.164568+00:00,1,/product/0PUK6V6EV0,GET,200,200.15041204169393,7952,
2026-06-16T02:37:18.167552+00:00,0,/product/2ZYFJ3GM2N,GET,200,191.82834587991238,7956,
2026-06-16T02:37:18.251174+00:00,7,/cart,GET,200,181.92804884165525,6871,
2026-06-16T02:37:18.251530+00:00,4,/product/0PUK6V6EV0,GET,200,178.3272959291935,7924,
2026-06-16T02:37:18.264488+00:00,3,/cart,GET,200,103.28192496672273,6881,
2026-06-16T02:37:18.265537+00:00,5,/,GET,200,197.0719527453184,10499,
2026-06-16T02:37:18.268245+00:00,6,/product/0PUK6V6EV0,GET,200,111.11258622258902,7954,
2026-06-16T02:37:18.278662+00:00,2,/,GET,200,122.39211006090045,10499,
